Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Book cover type (product.metafields.shopify.book-cover-type),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Difficulty level (product.metafields.shopify.difficulty-level),Flash card theme (product.metafields.shopify.flash-card-theme),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Puzzle theme (product.metafields.shopify.puzzle-theme),Puzzle type (product.metafields.shopify.puzzle-type),Recommended age group (product.metafields.shopify.recommended-age-group),Target audience (product.metafields.shopify.target-audience),Target gender (product.metafields.shopify.target-gender),Toy/Game material (product.metafields.shopify.toy-game-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-prophet-of-mercy-hardcover-copy,The Prophet of Mercy [Hardcover],"<p><meta charset=""utf-8""><span>This short and wonderful book provides 70 examples of difficult situations from the life of the Prophet (sws) and the wisdom with which he faced each and every struggle. May it offer many enlightening lessons from the Seerah of the Prophet of Mercy (sws). Our life in this world is a trial. We will experience ups and downs and face difficult situations. Who better to learn from than our beloved Prophet (sws), our guide and a role model to emulate in our daily lives.</span></p>",Baytul Iqra,Media > Books,"","hardcover, kube",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,15.00,,true,false,'9781847741721,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/71voIEr7GAL._SL1500.jpg?v=1741713165,1,"",false,,,784,,,,,,,,,,,,,,,,,,religion-spirituality,,,,,adults,,,,lb,,6.95,active
ramadan-activity-book-little-kids,Ramadan Activity Book (Little Kids),"<p><meta charset=""utf-8""><span>Would you like your child to eagerly await the coming of Ramadan?</span><br><br><span>Do you feel frustrated because each year, Ramadan passes by without your child truly appreciating the blessings of the month?</span><br><br><span>Do you wish your children knew more about Ramadan and cherished its inner and outer beauty?</span><br><br><span>We know how you feel because we’ve been there too. What we really need is a way to both excite and educate our children about Ramadan in a way that endears their hearts to the great month and shows its blessings as a golden opportunity for them to get closer to Allah. That’s exactly why we designed the Learning Roots Ramadan Activity Book.</span><br></p>
<p><strong>Features:</strong></p>
<ul data-pf-type=""List2"" class=""sc-fThTNe kChLHI pf-73_"">
<li data-pf-type=""List2.Item2"" class=""sc-SrAaV esjcyJ pf-74_ pf-text-1"">34 laminated pocket-sized cards</li>
<li data-pf-type=""List2.Item2"" class=""sc-SrAaV esjcyJ pf-74_ pf-text-1"">Recommended age 5-7 years old</li>
</ul>",Baytul Iqra,Toys & Games > Toys > Educational Toys,"","learning roots, paperback",true,Title,Default Title,,,,,,,,,0.0,shopify,3,deny,manual,18.00,,true,false,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/ramadan-little-hero-shot.webp?v=1741712715,1,"",false,,,784,,,,,,,,,,,,,,,purple; multicolor,,,children; religion-spirituality,,,,5-years-or-older,kids,,,,lb,,7.20,active
ramadan-activity-book-little-kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/B42A3768-Edit.webp?v=1741712715,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramadan-activity-book-little-kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/B42A3746-Edit.webp?v=1741712715,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way-to-jannah-2nd-edition-hardcover,The Way to Jannah [Hardcover],"<style type=""text/css""><!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--></style>
<style type=""text/css""><!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--></style>
<p>Children learn the key to Jannah: the<span> </span>Shahada.<b data-stringify-type=""bold""> </b>Designed with dads in mind - heartwarming adventure of<span> </span>father and daughter!<b data-stringify-type=""bold""> </b>Earn the rewards of thousands of<b data-stringify-type=""bold""><span> </span></b>words of remembrance (dhikr)<b data-stringify-type=""bold""><span> </span></b>by teaching it to your child. An<span> </span>interactive lift-the-flap<span> </span>dua book that engages your child with curiosity and physical play. Easy to follow and storyline making your child want to continuously turn the pages.</p>
<p><strong>Features:</strong></p>
<ul data-pf-type=""List2"" class=""sc-kMriOJ brNffh pf-72_"">
<li data-pf-type=""List2.Item2"" class=""sc-bdOgOc bNKfVA pf-73_ pf-text-1"">Board book made from thick card</li>
<li data-pf-type=""List2.Item2"" class=""sc-bdOgOc bNKfVA pf-75_ pf-text-1"">Tactile cover feature</li>
<li data-pf-type=""List2.Item2"" class=""sc-bdOgOc bNKfVA pf-77_ pf-text-1"">18 pages</li>
<li data-pf-type=""List2.Item2"" class=""sc-bdOgOc bNKfVA pf-79_ pf-text-1"">Recommended age 0-4 years<br>
</li>
<li data-pf-type=""List2.Item2"" class=""sc-bdOgOc bNKfVA pf-85_ pf-text-1"">Authored by Yasmin Mussa</li>
</ul>",Baytul Iqra,Media > Books,"","hardcover, learning roots",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,true,false,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/waytojannah-web-images1.webp?v=1741381147,1,"",false,,,784,,,,,,,,,,,,,,,,,,children; religion-spirituality,,,,,kids,,,,lb,,9.00,active
way-to-jannah-2nd-edition-hardcover,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/waytojannah-web-images2_d7f51665-ef65-41c2-a85c-79986297afdb.webp?v=1741381147,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way-to-jannah-2nd-edition-hardcover,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/waytojannah-web-images5_22f6f474-f6e2-45b6-82c4-4267f1e37134.webp?v=1741381147,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-giant-journey-puzzle,The Giant Journey (Puzzle),"<p>Each Prophet has an image relating to a highlight from their story so your child builds an immediate mental association for better long-term memory. There is a pathway that helps your child learn the order in which the Prophets were sent. It’s an all-in-one story image that sticks in your child’s mind as it is visually engaging which helps them remember the Prophets in a fun way.</p>
<p><strong>Features:</strong></p>
<ul data-pf-type=""List2"" class=""sc-kMriOJ brNffh pf-72_"">
<li data-pf-type=""List2.Item2"" class=""sc-bdOgOc bNKfVA pf-73_ pf-text-1"">178 pieces made from thick card</li>
<li data-pf-type=""List2.Item2"" class=""sc-bdOgOc bNKfVA pf-75_ pf-text-1"">Recommended age 8+</li>
</ul>",Baytul Iqra,Toys & Games > Puzzles,"","game, learning roots",true,Title,Default Title,,,,,,,,,0.0,shopify,2,deny,manual,30.00,,true,false,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/Artboard7.webp?v=1741380939,1,"",false,,,784,,,,,,,,,,,,,,,multicolor,medium,,children; religion-spirituality,,education,sliding-puzzle,8-years-or-older,kids,,cardboard,,lb,,15.00,active
the-giant-journey-puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/Rectangle1841.webp?v=1741380939,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-giant-journey-puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0732/0879/1270/files/Artboard3.webp?v=1741380939,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
